race,count,selection_rate,accuracy,error_rate,TPR,FPR
AfricanAmerican,3953.0,0.00025297242600556537,0.8869213255755123,0.11307867442448771,0.0,0.00028514399771884804
Asian,142.0,0.0,0.8943661971830986,0.10563380281690138,0.0,0.0
Caucasian,15141.0,0.00013209167162010435,0.8879862624661515,0.11201373753384847,0.0,0.00014873205919535955
Hispanic,411.0,0.0,0.8905109489051095,0.10948905109489049,0.0,0.0
Other,298.0,0.0,0.889261744966443,0.11073825503355705,0.0,0.0
Unknown,409.0,0.0,0.9070904645476773,0.09290953545232272,0.0,0.0
