race,count,selection_rate,accuracy,error_rate,TPR,FPR
AfricanAmerican,3953.0,0.027826966860612194,0.868454338477106,0.13154566152289404,0.04035874439461883,0.02623324779013402
Asian,142.0,0.0,0.8943661971830986,0.10563380281690138,0.0,0.0
Caucasian,15141.0,0.022785813354468002,0.87352222442375,0.12647777557624995,0.03659976387249114,0.02104558637614338
Hispanic,411.0,0.021897810218978103,0.8686131386861314,0.13138686131386856,0.0,0.02459016393442623
Other,298.0,0.02348993288590604,0.8657718120805369,0.13422818791946312,0.0,0.026415094339622643
Unknown,409.0,0.007334963325183374,0.8997555012224939,0.10024449877750607,0.0,0.008086253369272238
