race,count,selection_rate,accuracy,error_rate,TPR,FPR
AfricanAmerican,3953.0,0.0012648621300278269,0.8864153807235011,0.11358461927649888,0.002242152466367713,0.0011405759908753922
Asian,142.0,0.0,0.8943661971830986,0.10563380281690138,0.0,0.0
Caucasian,15141.0,0.00033022917905026086,0.8880523083019616,0.11194769169803842,0.0011806375442739079,0.00022309808879303935
Hispanic,411.0,0.0,0.8905109489051095,0.10948905109489049,0.0,0.0
Other,298.0,0.0,0.889261744966443,0.11073825503355705,0.0,0.0
Unknown,409.0,0.0,0.9070904645476773,0.09290953545232272,0.0,0.0
