race,count,selection_rate,accuracy,error_rate,TPR,FPR
AfricanAmerican,3953.0,0.0,0.8871742980015178,0.11282570199848219,0.0,0.0
Asian,142.0,0.0,0.8943661971830986,0.10563380281690138,0.0,0.0
Caucasian,15141.0,0.0005283666864804174,0.8878541707945314,0.11214582920546856,0.0011806375442739079,0.0004461961775860787
Hispanic,411.0,0.0,0.8905109489051095,0.10948905109489049,0.0,0.0
Other,298.0,0.0,0.889261744966443,0.11073825503355705,0.0,0.0
Unknown,409.0,0.0,0.9070904645476773,0.09290953545232272,0.0,0.0
