race,count,selection_rate,accuracy,error_rate,TPR,FPR
AfricanAmerican,3953.0,0.0025297242600556538,0.8851505185934733,0.11484948140652673,0.002242152466367713,0.0025662959794696323
Asian,142.0,0.0,0.8943661971830986,0.10563380281690138,0.0,0.0
Caucasian,15141.0,0.0019813750743015654,0.887325804108051,0.11267419589194905,0.005312868949232586,0.0015616866215512754
Hispanic,411.0,0.0,0.8905109489051095,0.10948905109489049,0.0,0.0
Other,298.0,0.0,0.889261744966443,0.11073825503355705,0.0,0.0
Unknown,409.0,0.0,0.9070904645476773,0.09290953545232272,0.0,0.0
