race,count,selection_rate,accuracy,error_rate,TPR,FPR
AfricanAmerican,3953.0,0.0010118897040222615,0.8866683531495066,0.11333164685049335,0.002242152466367713,0.000855431993156544
Asian,142.0,0.0,0.8943661971830986,0.10563380281690138,0.0,0.0
Caucasian,15141.0,0.006142262730334852,0.8842216498249785,0.11577835017502147,0.010035419126328217,0.0056518182494236634
Hispanic,411.0,0.0,0.8905109489051095,0.10948905109489049,0.0,0.0
Other,298.0,0.0,0.889261744966443,0.11073825503355705,0.0,0.0
Unknown,409.0,0.0,0.9070904645476773,0.09290953545232272,0.0,0.0
